id,emprendimiento_id,categoria,nombre,descripcion,precio,disponible,duracion,tags
2501,25,asesoria-profesional,Consultoría Financiera,Asesoría en finanzas personales y empresariales,80000,true,2 horas,"consultoría,finanzas,asesoría,empresarial,personal"
2502,25,asesoria-profesional,Gestión de Proyectos,Planificación y seguimiento de proyectos,120000,true,1 mes,"gestión,proyectos,planificación,seguimiento,organización"
2503,25,asesoria-profesional,Orientación Vocacional,Guía para elección de carrera profesional,60000,true,1.5 horas,"orientación,vocacional,carrera,profesional,guía"
2601,26,asesoria-profesional,Contabilidad Empresarial,Servicios contables para pequeñas empresas,150000,true,mensual,"contabilidad,empresarial,servicios,pequeñas empresas,mensual"
2602,26,asesoria-profesional,Auditoría Interna,Revisión de procesos y controles internos,200000,true,1 semana,"auditoría,interna,procesos,controles,revisión"
2603,26,asesoria-profesional,Declaración de Impuestos,Preparación y presentación de declaraciones,100000,true,3 días,"declaración,impuestos,preparación,presentación,fiscal"
2701,27,diseño-grafico,Logos Profesionales,Diseño de logos únicos para empresas,50000,true,3 días,"logos,profesionales,empresas,branding,identidad"
2702,27,diseño-grafico,Material para Redes,Posts e historias para redes sociales,30000,true,1 día,"redes sociales,posts,historias,marketing,contenido"
2703,27,diseño-grafico,Tarjetas de Presentación,Diseño de tarjetas personales y empresariales,25000,true,2 días,"tarjetas,presentación,personales,empresariales,networking"
2801,28,diseño-grafico,Banners Publicitarios,Diseño de banners para eventos y promociones,40000,true,2 días,"banners,publicitarios,eventos,promociones,diseño"
2802,28,diseño-grafico,Identidad Corporativa,Desarrollo completo de imagen empresarial,200000,true,2 semanas,"identidad,corporativa,imagen,empresarial,completo"
2803,28,diseño-grafico,Packaging Design,Diseño de empaques y etiquetas,60000,true,1 semana,"packaging,empaques,etiquetas,producto,diseño"
2901,29,edicion-fotos-videos,Edición de Fotos,Retoque y mejora de fotografías digitales,35000,true,1 día,"edición,fotos,retoque,mejora,digital"
2902,29,edicion-fotos-videos,Videos Promocionales,Creación de videos para marketing,80000,true,1 semana,"videos,promocionales,marketing,creación,audiovisual"
2903,29,edicion-fotos-videos,Montajes Creativos,Composiciones artísticas con múltiples imágenes,45000,true,2 días,"montajes,creativos,composiciones,artísticas,imágenes"
3001,30,edicion-fotos-videos,Edición de Reels,Videos cortos para redes sociales,25000,true,4 horas,"reels,videos cortos,redes sociales,edición,viral"
3002,30,edicion-fotos-videos,Documentales Cortos,Producción de mini documentales,150000,true,2 semanas,"documentales,cortos,producción,audiovisual,narrativa"
3003,30,edicion-fotos-videos,Motion Graphics,Animaciones y gráficos en movimiento,100000,true,1 semana,"motion graphics,animaciones,gráficos,movimiento,digital"
3101,31,enseñanza,Matemáticas,Clases de matemáticas para bachillerato,25000,true,1 hora,"matemáticas,bachillerato,clases,educación,apoyo"
3102,31,enseñanza,Inglés Conversacional,Clases de inglés enfocadas en conversación,30000,true,1 hora,"inglés,conversacional,idiomas,práctica,fluido"
3103,31,enseñanza,Preparación Universitaria,Preparación para exámenes de admisión,40000,true,1.5 horas,"universitaria,admisión,exámenes,preparación,ingreso"
3201,32,enseñanza,Física Avanzada,Tutorías especializadas en física universitaria,35000,true,1 hora,"física,avanzada,tutorías,universitaria,especializada"
3202,32,enseñanza,Química Orgánica,Apoyo en química para estudiantes de ciencias,40000,true,1 hora,"química,orgánica,apoyo,estudiantes,ciencias"
3203,32,enseñanza,Cálculo Diferencial,Clases de cálculo para ingeniería,45000,true,1 hora,"cálculo,diferencial,ingeniería,matemáticas,avanzado"
3301,33,escritura-traduccion,Redacción Académica,Escritura de ensayos y trabajos universitarios,50000,true,3 días,"redacción,académica,ensayos,trabajos,universitarios"
3302,33,escritura-traduccion,Corrección de Textos,Revisión ortográfica y de estilo,30000,true,1 día,"corrección,textos,ortográfica,estilo,revisión"
3303,33,escritura-traduccion,Artículos de Blog,Creación de contenido para blogs y webs,40000,true,2 días,"artículos,blog,contenido,webs,creación"
3401,34,escritura-traduccion,Traducción Inglés-Español,Traducción de documentos profesionales,60000,true,2 días,"traducción,inglés,español,documentos,profesionales"
3402,34,escritura-traduccion,Traducción Técnica,Traducción especializada en textos técnicos,80000,true,3 días,"traducción,técnica,especializada,textos,profesional"
3403,34,escritura-traduccion,Subtitulado,Subtítulos para videos y contenido audiovisual,45000,true,1 día,"subtitulado,videos,audiovisual,traducción,accesibilidad"
3501,35,fotografia,Retratos Profesionales,Sesiones de retratos para perfiles profesionales,80000,true,2 horas,"retratos,profesionales,perfiles,sesiones,calidad"
3502,35,fotografia,Fotografía de Producto,Fotos profesionales para catálogos y tiendas,60000,true,3 horas,"producto,catálogos,tiendas,comercial,profesional"
3503,35,fotografia,Eventos Sociales,Cobertura fotográfica de eventos y celebraciones,120000,true,4 horas,"eventos,sociales,celebraciones,cobertura,memorias"
3601,36,fotografia,Fotografía de Bodas,Cobertura completa de ceremonias matrimoniales,300000,true,8 horas,"bodas,ceremonias,matrimoniales,cobertura,completa"
3602,36,fotografia,Sesiones Familiares,Retratos familiares en estudio o exteriores,100000,true,1 hora,"familiares,retratos,estudio,exteriores,memorias"
3603,36,fotografia,Fotografía Corporativa,Imágenes profesionales para empresas,150000,true,3 horas,"corporativa,empresas,profesionales,imagen,branding"
3701,37,marketing,Estrategia Digital,Desarrollo de planes de marketing digital,200000,true,1 semana,"estrategia,digital,marketing,planes,desarrollo"
3702,37,marketing,Campañas en Redes,Gestión de campañas publicitarias en redes sociales,150000,true,1 mes,"campañas,redes,publicitarias,gestión,social media"
3703,37,marketing,SEO y Posicionamiento,Optimización para motores de búsqueda,180000,true,2 semanas,"SEO,posicionamiento,optimización,búsqueda,web"
3801,38,marketing,Community Management,Gestión de redes sociales para empresas,120000,true,1 mes,"community,management,redes sociales,empresas,gestión"
3802,38,marketing,Contenido Creativo,Creación de posts y contenido visual,80000,true,1 semana,"contenido,creativo,posts,visual,redes"
3803,38,marketing,Influencer Marketing,Estrategias con influencers y colaboraciones,250000,true,1 mes,"influencer,marketing,estrategias,colaboraciones,alcance"
3901,39,musica-audio,Producción Musical,Grabación y producción de canciones,300000,true,1 semana,"producción,musical,grabación,canciones,estudio"
3902,39,musica-audio,Jingles Publicitarios,Creación de jingles para marcas y empresas,150000,true,3 días,"jingles,publicitarios,marcas,empresas,audio"
3903,39,musica-audio,Podcasts,Edición y producción de episodios de podcast,100000,true,2 días,"podcasts,edición,producción,episodios,audio"
4001,40,musica-audio,Mezcla de Audio,Mezcla profesional de grabaciones musicales,200000,true,2 días,"mezcla,audio,profesional,grabaciones,musicales"
4002,40,musica-audio,Masterización,Masterización final de tracks musicales,150000,true,1 día,"masterización,tracks,musicales,final,calidad"
4003,40,musica-audio,Efectos de Sonido,Creación de efectos sonoros para medios,80000,true,1 día,"efectos,sonido,creación,medios,audiovisual"
4101,41,programacion,Páginas Web,Desarrollo de sitios web responsivos,200000,true,2 semanas,"páginas web,responsivos,desarrollo,sitios,moderno"
4102,41,programacion,Tiendas Online,E-commerce completo con carrito de compras,350000,true,1 mes,"tiendas online,e-commerce,carrito,ventas,digital"
4103,41,programacion,Sistemas Web,Desarrollo de aplicaciones web personalizadas,500000,true,2 meses,"sistemas web,aplicaciones,personalizadas,desarrollo,software"
4201,42,programacion,Aplicaciones Móviles,Apps nativas para Android e iOS,500000,true,2 meses,"aplicaciones,móviles,android,ios,nativas"
4202,42,programacion,Apps Híbridas,Aplicaciones multiplataforma con tecnologías web,350000,true,1.5 meses,"apps,híbridas,multiplataforma,web,tecnologías"
4203,42,programacion,Mantenimiento de Apps,Actualizaciones y soporte para aplicaciones,100000,true,mensual,"mantenimiento,apps,actualizaciones,soporte,aplicaciones"
4301,43,reparaciones,Reparación de Electrodomésticos,Servicio técnico para electrodomésticos del hogar,50000,true,2 horas,"reparación,electrodomésticos,técnico,hogar,servicio"
4302,43,reparaciones,Reparación de Computadoras,Diagnóstico y reparación de equipos de cómputo,80000,true,1 día,"reparación,computadoras,diagnóstico,equipos,cómputo"
4303,43,reparaciones,Mantenimiento de Aires,Limpieza y mantenimiento de aires acondicionados,60000,true,2 horas,"mantenimiento,aires,limpieza,acondicionados,servicio"
4401,44,reparaciones,Reparación de Celulares,Reparación de pantallas y componentes móviles,40000,true,1 hora,"reparación,celulares,pantallas,componentes,móviles"
4402,44,reparaciones,Instalación de Software,Instalación y configuración de programas,30000,true,1 hora,"instalación,software,configuración,programas,técnico"
4403,44,reparaciones,Recuperación de Datos,Recuperación de archivos perdidos o dañados,100000,true,1 día,"recuperación,datos,archivos,perdidos,dañados"
4501,45,salud-bienestar,Terapia Psicológica,Sesiones de terapia individual y de pareja,80000,true,1 hora,"terapia,psicológica,individual,pareja,bienestar"
4502,45,salud-bienestar,Coaching Personal,Acompañamiento para desarrollo personal,60000,true,1 hora,"coaching,personal,desarrollo,acompañamiento,crecimiento"
4503,45,salud-bienestar,Meditación Guiada,Sesiones de meditación y mindfulness,40000,true,45 minutos,"meditación,guiada,mindfulness,relajación,bienestar"
4601,46,salud-bienestar,Consultas Nutricionales,Planes alimentarios personalizados,70000,true,1 hora,"consultas,nutricionales,planes,alimentarios,personalizados"
4602,46,salud-bienestar,Clases de Yoga,Clases grupales e individuales de yoga,35000,true,1 hora,"yoga,clases,grupales,individuales,ejercicio"
4603,46,salud-bienestar,Masajes Terapéuticos,Masajes para relajación y recuperación muscular,50000,true,1 hora,"masajes,terapéuticos,relajación,recuperación,muscular" 